,rule,total_support,agree,disagree,unique_states,agree_percentage,disagree_percentage
0,dir_right_car == 1 and x_right_car_lagged_1 == 99,12,9,3,12,0.75,0.25
1,x_left_car == 0 and x_right_car == 0 and speed_lagged_1 == 3 and x_right_car_lagged_1 == 0 and x_left_car_lagged_2 == 0,156,95,61,137,0.6089743589743589,0.391025641025641
