,rule,total_support,agree,disagree,unique_states,agree_percentage,disagree_percentage
0,speed == 0 and x_left_car == 0,104,70,34,63,0.6730769230769231,0.3269230769230769
1,dist_to_car_in_front == 0 and speed_lagged_1 == 3 and dist_to_car_in_front_lagged_1 == 0,25,19,6,25,0.76,0.24
