,rule,total_support,agree,disagree,unique_states,agree_percentage,disagree_percentage
0,dist_to_car_in_front == 0 and y_left_car == 2,339,210,129,75,0.6194690265486725,0.3805309734513274
1,speed == 3 and x_left_car == 2 and y_left_car == 2,545,366,179,84,0.671559633027523,0.3284403669724771
