,rule,total_support,agree,disagree,unique_states,agree_percentage,disagree_percentage
0,dist_to_car_in_front == 0,3944,3521,423,573,0.8927484787018256,0.10725152129817445
1,speed == 3 and dist_to_car_in_front == 1 and y_right_car == 99,1011,614,397,63,0.6073194856577646,0.3926805143422354
