,rule,total_support,agree,disagree,unique_states,agree_percentage,disagree_percentage
0,speed == 1,75,58,17,59,0.7733333333333333,0.22666666666666666
1,x_right_car == 2,927,611,316,206,0.6591154261057174,0.3408845738942826
2,x_right_car == 3,115,100,15,53,0.8695652173913043,0.13043478260869565
3,car_infront_dir == 99 and dir_right_car == 99,257,251,6,16,0.9766536964980544,0.023346303501945526
4,dist_to_car_in_front == 2 and x_left_car == 0,116,108,8,11,0.9310344827586207,0.06896551724137931
5,x_left_car == 1 and y_left_car == 0,319,291,28,97,0.9122257053291536,0.0877742946708464
6,dist_to_car_in_front == 3 and x_left_car == 0,35,34,1,6,0.9714285714285714,0.02857142857142857
7,speed == 0 and x_left_car == 0,127,111,16,20,0.8740157480314961,0.12598425196850394
