,rule,total_support,agree,disagree,unique_states,agree_percentage,disagree_percentage
0,speed == 3 and dist_to_car_in_front == 0,1935,1771,164,261,0.9152454780361757,0.08475452196382428
1,speed == 3 and dist_to_car_in_front == 1 and x_left_car == 99,4507,2185,2322,83,0.4848014200133126,0.5151985799866874
