,rule,total_support,agree,disagree,unique_states,agree_percentage,disagree_percentage
0,dist_to_car_in_front == 1,3702,2724,978,347,0.7358184764991896,0.26418152350081037
1,dist_to_car_in_front == 2,889,820,69,189,0.922384701912261,0.07761529808773904
2,dist_to_car_in_front == 3,377,347,30,107,0.9204244031830239,0.07957559681697612
3,car_infront_dir == 99,1063,979,84,121,0.9209783631232361,0.07902163687676388
